corpus	model	bert_layers	finetuning_count	mean_precision	mean_recall	mean_f1	mean_hit	mean_mrr	mean_nearest_same_distance	mean_farthest_same_distance	geom_intra_mean	geom_inter_nearest_mean	geom_inter_intra_ratio	geom_centroid_margin
clres	albert-base-v2	11	1000	0.5359144046652615	0.08105973834120872	0.13496573111061358	0.9507887323943658	0.7653557366604976	0.25119358000361197	0.351455903672348	25.641494195345732	12.011560985502143	0.46844231829837746	-13.629933209843589
clres	albert-base-v2	11	2500	0.4988164349932775	0.07522118566036974	0.1252682077630748	0.9470100603621731	0.736286531820876	0.294686056748659	0.39300432412910963	26.68608531836263	11.142865274296344	0.4175533856451012	-15.543220044066285
clres	xlnet-base-cased	11	0	0.3575681157737535	0.05117430259736318	0.08552531821530225	0.9332112676056338	0.6832297217040917	0.029613912949502774	0.03490980727492152	52.12796295374803	13.52024667601739	0.25936648796373646	-38.607716277730646
clres	xlnet-base-cased	11	100	0.48203288278520307	0.07031326203316773	0.11739595746805462	0.9532515090543262	0.7773869620534718	0.19421926226030795	0.26025955184485877	59.49286988607952	23.72101384529345	0.3987202817869747	-35.77185604078607
clres	xlnet-base-cased	11	250	0.4642222256321514	0.06737033420687841	0.11252523156659666	0.9487082494969818	0.7647408966381144	0.23848478565470477	0.31431827775758864	59.7787122805432	22.733162739886755	0.38028859894471084	-37.04554954065645
clres	xlnet-base-cased	11	500	0.46501313023936414	0.06783744472888059	0.11325752083869758	0.9470181086519112	0.7601868015510571	0.28278953596957085	0.37659636510269445	60.556983022845195	23.30729551960501	0.3848820459039762	-37.24968750324018
clres	xlnet-base-cased	11	1000	0.443791867576807	0.06425906345175098	0.10734846375301701	0.9454768611670022	0.7450360722943556	0.2786516451136721	0.36363635753072365	61.39540833156332	22.710872027591098	0.36991157229449456	-38.68453630397222
clres	xlnet-base-cased	11	2500	0.4753775897657625	0.06921461889488115	0.11559640066205903	0.9519637826961772	0.7643785333086138	0.21997924669627758	0.29183749890607746	59.01343295874117	22.793300130949625	0.38623918298204074	-36.220132827791545
clres	gpt2	11	0	0.21755712327721505	0.03241672653317279	0.05398614601806745	0.857344064386318	0.46444158457184787	0.0018170152491630053	0.0029336274651554596	24.452178544788595	5.72308441733496	0.23405212778289242	-18.729094127453635
clres	gpt2	11	100	0.18557965412478364	0.027770107557345373	0.04622496626147379	0.8380523138832998	0.417451438264581	0.10466395792619929	0.1436014418719102	64.40470798390857	14.56090308967782	0.22608445167262994	-49.84380489423074
